File to parse: ../Downloads/characters.901225-01.bin
017b 00379 012 0c ....**..
017c 00380 024 18 ...**...
017d 00381 048 30 ..**....
017e 00382 096 60 .**.....
017f 00383 000 00 ........

0180 00384 060 3c ..****..
0181 00385 102 66 .**..**.
0182 00386 110 6e .**.***.
0183 00387 118 76 .***.**.
0184 00388 102 66 .**..**.
0185 00389 102 66 .**..**.
0186 00390 060 3c ..****..
0187 00391 000 00 ........

0188 00392 024 18 ...**...
0189 00393 024 18 ...**...
018a 00394 056 38 ..***...
018b 00395 024 18 ...**...
018c 00396 024 18 ...**...
018d 00397 024 18 ...**...
018e 00398 126 7e .******.
018f 00399 000 00 ........

0190 00400 060 3c ..****..
0191 00401 102 66 .**..**.
0192 00402 006 06 .....**.
0193 00403 012 0c ....**..
0194 00404 048 30 ..**....
0195 00405 096 60 .**.....
0196 00406 126 7e .******.
0197 00407 000 00 ........

0198 00408 060 3c ..****..
0199 00409 102 66 .**..**.
019a 00410 006 06 .....**.
019b 00411 028 1c ...***..
019c 00412 006 06 .....**.
019d 00413 102 66 .**..**.
019e 00414 060 3c ..****..
019f 00415 000 00 ........

01a0 00416 006 06 .....**.
01a1 00417 014 0e ....***.
01a2 00418 030 1e ...****.
01a3 00419 102 66 .**..**.
01a4 00420 127 7f .*******
01a5 00421 006 06 .....**.
01a6 00422 006 06 .....**.
01a7 00423 000 00 ........

01a8 00424 126 7e .******.
01a9 00425 096 60 .**.....
01aa 00426 124 7c .*****..
01ab 00427 006 06 .....**.
01ac 00428 006 06 .....**.
01ad 00429 102 66 .**..**.
01ae 00430 060 3c ..****..
01af 00431 000 00 ........

01b0 00432 060 3c ..****..
01b1 00433 102 66 .**..**.
01b2 00434 096 60 .**.....
01b3 00435 124 7c .*****..
01b4 00436 102 66 .**..**.
01b5 00437 102 66 .**..**.
01b6 00438 060 3c ..****..
01b7 00439 000 00 ........

01b8 00440 126 7e .******.
01b9 00441 102 66 .**..**.
01ba 00442 012 0c ....**..
01bb 00443 024 18 ...**...
01bc 00444 024 18 ...**...
01bd 00445 024 18 ...**...
01be 00446 024 18 ...**...
01bf 00447 000 00 ........

01c0 00448 060 3c ..****..
01c1 00449 102 66 .**..**.
01c2 00450 102 66 .**..**.
01c3 00451 060 3c ..****..
01c4 00452 102 66 .**..**.
01c5 00453 102 66 .**..**.
01c6 00454 060 3c ..****..
01c7 00455 000 00 ........

01c8 00456 060 3c ..****..
01c9 00457 102 66 .**..**.
01ca 00458 102 66 .**..**.
01cb 00459 062 3e ..*****.
01cc 00460 006 06 .....**.
01cd 00461 102 66 .**..**.
01ce 00462 060 3c ..****..
01cf 00463 000 00 ........

01d0 00464 000 00 ........
01d1 00465 000 00 ........
01d2 00466 024 18 ...**...
01d3 00467 000 00 ........
01d4 00468 000 00 ........
01d5 00469 024 18 ...**...
01d6 00470 000 00 ........
01d7 00471 000 00 ........

01d8 00472 000 00 ........
01d9 00473 000 00 ........
01da 00474 024 18 ...**...
01db 00475 000 00 ........
01dc 00476 000 00 ........
01dd 00477 024 18 ...**...
01de 00478 024 18 ...**...
01df 00479 048 30 ..**....

01e0 00480 014 0e ....***.
01e1 00481 024 18 ...**...
01e2 00482 048 30 ..**....
01e3 00483 096 60 .**.....
01e4 00484 048 30 ..**....
01e5 00485 024 18 ...**...
01e6 00486 014 0e ....***.
01e7 00487 000 00 ........

01e8 00488 000 00 ........
01e9 00489 000 00 ........
01ea 00490 126 7e .******.
01eb 00491 000 00 ........
01ec 00492 126 7e .******.
01ed 00493 000 00 ........
01ee 00494 000 00 ........
01ef 00495 000 00 ........

01f0 00496 112 70 .***....
01f1 00497 024 18 ...**...
01f2 00498 012 0c ....**..
01f3 00499 006 06 .....**.
01f4 00500 012 0c ....**..
01f5 00501 024 18 ...**...
01f6 00502 112 70 .***....
01f7 00503 000 00 ........

01f8 00504 060 3c ..****..
01f9 00505 102 66 .**..**.
01fa 00506 006 06 .....**.
01fb 00507 012 0c ....**..
01fc 00508 024 18 ...**...
01fd 00509 000 00 ........
01fe 00510 024 18 ...**...
01ff 00511 000 00 ........

0200 00512 000 00 ........
0201 00513 000 00 ........
0202 00514 000 00 ........
0203 00515 255 ff ********
0204 00516 255 ff ********
0205 00517 000 00 ........
0206 00518 000 00 ........
0207 00519 000 00 ........

0208 00520 008 08 ....*...
0209 00521 028 1c ...***..
020a 00522 062 3e ..*****.
020b 00523 127 7f .*******
020c 00524 127 7f .*******
020d 00525 028 1c ...***..
020e 00526 062 3e ..*****.
020f 00527 000 00 ........

0210 00528 024 18 ...**...
0211 00529 024 18 ...**...
0212 00530 024 18 ...**...
0213 00531 024 18 ...**...
0214 00532 024 18 ...**...
0215 00533 024 18 ...**...
0216 00534 024 18 ...**...
0217 00535 024 18 ...**...

0218 00536 000 00 ........
0219 00537 000 00 ........
021a 00538 000 00 ........
021b 00539 255 ff ********
021c 00540 255 ff ********
021d 00541 000 00 ........
021e 00542 000 00 ........
021f 00543 000 00 ........

0220 00544 000 00 ........
0221 00545 000 00 ........
0222 00546 255 ff ********
0223 00547 255 ff ********
0224 00548 000 00 ........
0225 00549 000 00 ........
0226 00550 000 00 ........
0227 00551 000 00 ........

0228 00552 000 00 ........
0229 00553 255 ff ********
022a 00554 255 ff ********
022b 00555 000 00 ........
022c 00556 000 00 ........
022d 00557 000 00 ........
022e 00558 000 00 ........
022f 00559 000 00 ........

0230 00560 000 00 ........
0231 00561 000 00 ........
0232 00562 000 00 ........
0233 00563 000 00 ........
0234 00564 255 ff ********
0235 00565 255 ff ********
0236 00566 000 00 ........
0237 00567 000 00 ........

0238 00568 048 30 ..**....
0239 00569 048 30 ..**....
023a 00570 048 30 ..**....
023b 00571 048 30 ..**....
023c 00572 048 30 ..**....
023d 00573 048 30 ..**....
023e 00574 048 30 ..**....
023f 00575 048 30 ..**....

0240 00576 012 0c ....**..
0241 00577 012 0c ....**..
0242 00578 012 0c ....**..
0243 00579 012 0c ....**..
0244 00580 012 0c ....**..
0245 00581 012 0c ....**..
0246 00582 012 0c ....**..
0247 00583 012 0c ....**..

0248 00584 000 00 ........
0249 00585 000 00 ........
024a 00586 000 00 ........
024b 00587 224 e0 ***.....
024c 00588 240 f0 ****....
024d 00589 056 38 ..***...
024e 00590 024 18 ...**...
024f 00591 024 18 ...**...

0250 00592 024 18 ...**...
0251 00593 024 18 ...**...
0252 00594 028 1c ...***..
0253 00595 015 0f ....****
0254 00596 007 07 .....***
0255 00597 000 00 ........
0256 00598 000 00 ........
0257 00599 000 00 ........

0258 00600 024 18 ...**...
0259 00601 024 18 ...**...
025a 00602 056 38 ..***...
025b 00603 240 f0 ****....
025c 00604 224 e0 ***.....
025d 00605 000 00 ........
025e 00606 000 00 ........
025f 00607 000 00 ........

0260 00608 192 c0 **......
0261 00609 192 c0 **......
0262 00610 192 c0 **......
0263 00611 192 c0 **......
0264 00612 192 c0 **......
0265 00613 192 c0 **......
0266 00614 255 ff ********
0267 00615 255 ff ********

0268 00616 192 c0 **......
0269 00617 224 e0 ***.....
026a 00618 112 70 .***....
026b 00619 056 38 ..***...
026c 00620 028 1c ...***..
026d 00621 014 0e ....***.
026e 00622 007 07 .....***
026f 00623 003 03 ......**

0270 00624 003 03 ......**
0271 00625 007 07 .....***
0272 00626 014 0e ....***.
0273 00627 028 1c ...***..
0274 00628 056 38 ..***...
0275 00629 112 70 .***....
0276 00630 224 e0 ***.....
0277 00631 192 c0 **......

0278 00632 255 ff ********
0279 00633 255 ff ********
027a 00634 192 c0 **......
027b 00635 192 c0 **......
027c 00636 192 c0 **......
027d 00637 192 c0 **......
027e 00638 192 c0 **......
027f 00639 192 c0 **......

0280 00640 255 ff ********
0281 00641 255 ff ********
0282 00642 003 03 ......**
0283 00643 003 03 ......**
0284 00644 003 03 ......**
0285 00645 003 03 ......**
0286 00646 003 03 ......**
0287 00647 003 03 ......**

0288 00648 000 00 ........
0289 00649 060 3c ..****..
028a 00650 126 7e .******.
028b 00651 126 7e .******.
028c 00652 126 7e .******.
028d 00653 126 7e .******.
028e 00654 060 3c ..****..
028f 00655 000 00 ........

0290 00656 000 00 ........
0291 00657 000 00 ........
0292 00658 000 00 ........
0293 00659 000 00 ........
0294 00660 000 00 ........
0295 00661 255 ff ********
0296 00662 255 ff ********
0297 00663 000 00 ........

0298 00664 054 36 ..**.**.
0299 00665 127 7f .*******
029a 00666 127 7f .*******
029b 00667 127 7f .*******
029c 00668 062 3e ..*****.
029d 00669 028 1c ...***..
029e 00670 008 08 ....*...
029f 00671 000 00 ........

02a0 00672 096 60 .**.....
02a1 00673 096 60 .**.....
02a2 00674 096 60 .**.....
02a3 00675 096 60 .**.....
02a4 00676 096 60 .**.....
02a5 00677 096 60 .**.....
02a6 00678 096 60 .**.....
02a7 00679 096 60 .**.....

02a8 00680 000 00 ........
02a9 00681 000 00 ........
02aa 00682 000 00 ........
02ab 00683 007 07 .....***
02ac 00684 015 0f ....****
02ad 00685 028 1c ...***..
02ae 00686 024 18 ...**...
02af 00687 024 18 ...**...

02b0 00688 195 c3 **....**
02b1 00689 231 e7 ***..***
02b2 00690 126 7e .******.
02b3 00691 060 3c ..****..
02b4 00692 060 3c ..****..
02b5 00693 126 7e .******.
02b6 00694 231 e7 ***..***
02b7 00695 195 c3 **....**

